Country Name,Country Code,Series Name,Series Code,1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
"Korea, Rep.",KOR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,2.60800004005432,6.96299982070923,6.34200000762939,4.40000009536743,4,3.29999995231628,3.59999990463257,3.70000004768372,3.70000004768372,3.40000009536743,3.20000004768372,3.09999990463257,3.5,3.59999990463257,3.70000004768372,3.70000004768372,3.84800004959106
United States,USA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,5,4.51000022888184,4.2189998626709,3.99200010299683,4.73099994659424,5.78299999237061,5.98899984359741,5.52899980545044,9.63300037384033,8.94900035858154,8.06900024414063,7.375,6.16800022125244,5.28000020980835,4.86899995803833,4.35500001907349,3.89599990844727
Germany,DEU,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,9.86299991607666,9.78800010681152,8.85499954223633,7.91699981689453,7.77299976348877,8.48200035095215,9.7790002822876,10.7270002365112,6.96600008010864,5.82399988174438,5.37900018692017,5.23099994659424,4.98099994659424,4.62400007247925,4.12200021743774,3.74600005149841,3.3840000629425
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,,,,,,
Last Updated: 05/28/2020,,,,,,,,,,,,,,,,,,,,
